suite,scenario,time_s,time_min,temperature_K,ambient_K,sun_fraction,solar_W_m2,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
radiation,sun,290.0,4.833333,300.098745711009,270.0,1.0,1000.0,0.0,0.0,-202.149119475664,212.5,10.350880524335992,0.0,10.350880524335992,0.0,0.0,-58.514510103223884,61.625,3.1104898967761,0.0,3.1104898967761
radiation,sun,295.0,4.916667,300.10038666962237,270.0,1.0,1000.0,0.0,0.0,-202.1619607354839,212.5,10.338039264516112,0.0,10.338039264516112,0.0,0.0,-59.5253199069013,62.6875,3.1621800930986805,0.0,3.1621800930986805
radiation,sun,300.0,5.0,300.10202559243584,270.0,1.0,1000.0,0.0,0.0,-202.17478627501097,212.5,10.325213724989027,0.0,10.325213724989027,0.0,0.0,-60.536193838276354,63.75,3.213806161723626,0.0,3.213806161723626
radiation,sun,305.0,5.083333,300.10366248194174,270.0,1.0,1000.0,0.0,0.0,-202.18759611296701,212.5,10.312403887032985,0.0,10.312403887032985,0.0,0.0,-61.54713181884119,64.8125,3.2653681811587907,0.0,3.2653681811587907
radiation,sun,310.0,5.166667,300.10529734062936,270.0,1.0,1000.0,0.0,0.0,-202.200390268053,212.5,10.299609731946987,0.0,10.299609731946987,0.0,0.0,-62.558133770181456,65.875,3.316866229818526,0.0,3.316866229818526
radiation,sun,315.0,5.25,300.1069301709851,270.0,1.0,1000.0,0.0,0.0,-202.21316875894823,212.5,10.286831241051772,0.0,10.286831241051772,0.0,0.0,-63.569199613976195,66.9375,3.3683003860237846,0.0,3.3683003860237846
radiation,sun,320.0,5.333333,300.10856097549237,270.0,1.0,1000.0,0.0,0.0,-202.22593160431128,212.5,10.274068395688715,0.0,10.274068395688715,0.0,0.0,-64.58032927199775,68.0,3.4196707280022283,0.0,3.4196707280022283
radiation,sun,325.0,5.416667,300.1101897566316,270.0,1.0,1000.0,0.0,0.0,-202.23867882278023,212.5,10.26132117721977,0.0,10.26132117721977,0.0,0.0,-65.59152266611166,69.0625,3.4709773338883267,0.0,3.4709773338883267
radiation,sun,330.0,5.5,300.1118165168803,270.0,1.0,1000.0,0.0,0.0,-202.25141043297148,212.5,10.248589567028517,0.0,10.248589567028517,0.0,0.0,-66.60277971827652,70.125,3.52222028172347,0.0,3.52222028172347
radiation,sun,335.0,5.583333,300.11344125871307,270.0,1.0,1000.0,0.0,0.0,-202.26412645348123,212.5,10.235873546518775,0.0,10.235873546518775,0.0,0.0,-67.61410035054394,71.1875,3.573399649456064,0.0,3.573399649456064
