suite,scenario,time_s,time_min,temperature_K,ambient_K,surface_type,surface_K,light,sun_fraction,wind_m_s,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
combined,hot_sun_wind_20,4630.0,77.166667,287.97087608589254,270.0,hot,340.0,sun,1.0,20.0,780.4368011867368,-879.9953802110583,-112.96558142318105,212.5,99.53441857681895,0.0,-0.024160447502538318,3533.500403209279,-4335.285807717173,-561.0069987864862,983.875,422.86800121351376,0.0,-378.91740329438437
combined,hot_sun_wind_20,4635.0,77.25,287.97087229404383,270.0,hot,340.0,sun,1.0,20.0,780.4368587116119,-879.9951924197553,-112.96555493866455,212.5,99.53444506133545,0.0,-0.023888646807989744,3537.402587502837,-4339.685783679272,-561.5718265611796,984.9375,423.36567343882047,0.0,-378.9175227376184
combined,hot_sun_wind_20,4640.0,77.333333,287.97086854485275,270.0,hot,340.0,sun,1.0,20.0,780.4369155893426,-879.9950067410705,-112.96552875209501,212.5,99.53447124790499,0.0,-0.023619903822932997,3541.304772080783,-4344.085758712978,-562.1366542049401,986.0,423.86334579505996,0.0,-378.9176408371375
combined,hot_sun_wind_20,4645.0,77.416667,287.9708648378394,270.0,hot,340.0,sun,1.0,20.0,780.4369718272087,-879.9948231512382,-112.96550286012084,212.5,99.53449713987916,0.0,-0.023354184150292667,3545.2069569399196,-4348.4857328287335,-562.7014817192406,987.0625,424.36101828075937,0.0,-378.91775760805825
combined,hot_sun_wind_20,4650.0,77.5,287.9708611725292,270.0,hot,340.0,sun,1.0,20.0,780.4370274324094,-879.9946416267575,-112.96547725942759,212.5,99.53452274057241,0.0,-0.023091453775634818,3549.1091420770813,-4352.885706036867,-563.2663091055379,988.125,424.85869089446226,0.0,-378.91787306532717
combined,hot_sun_wind_20,4655.0,77.583333,287.9708575484532,270.0,hot,340.0,sun,1.0,20.0,780.4370824120616,-879.9944621443943,-112.96545194673848,212.5,99.53454805326152,0.0,-0.02283167907120287,3553.011327489142,-4357.285678347589,-563.8311363652715,989.1875,425.3563636347286,0.0,-378.9179872237225
combined,hot_sun_wind_20,4660.0,77.666667,287.97085396514734,270.0,hot,340.0,sun,1.0,20.0,780.4371367732023,-879.9942846811766,-112.96542691881366,212.5,99.53457308118634,0.0,-0.022574826788016367,3556.9135131730077,-4361.685649770996,-564.3959634998656,990.25,425.8540365001345,0.0,-378.91810009785644
combined,hot_sun_wind_20,4665.0,77.75,287.97085042215303,270.0,hot,340.0,sun,1.0,20.0,780.4371905227899,-879.9941092143881,-112.96540217244939,212.5,99.53459782755061,0.0,-0.02232086404757183,3560.815699125622,-4366.085620317068,-564.9607905107279,991.3125,426.35170948927225,0.0,-378.9182117021767
combined,hot_sun_wind_20,4670.0,77.833333,287.97084691901676,270.0,hot,340.0,sun,1.0,20.0,780.4372436677045,-879.9939357215688,-112.96537770447812,212.5,99.53462229552188,0.0,-0.02206975834248226,3564.7178853439605,-4370.485589995676,-565.5256173992502,992.375,426.8493826007499,0.0,-378.91832205096836
combined,hot_sun_wind_20,4675.0,77.916667,287.97084345529015,270.0,hot,340.0,sun,1.0,20.0,780.4372962147486,-879.993764180512,-112.96535351176787,212.5,99.53464648823213,0.0,-0.021821477531304367,3568.6200718250343,-4374.885558816578,-566.0904441668091,993.4375,427.34705583319106,0.0,-378.91843115835604
combined,hot_sun_wind_20,4680.0,78.0,287.97084003052987,270.0,hot,340.0,sun,1.0,20.0,780.4373481706477,-879.9935945692614,-112.96532959122223,212.5,99.53467040877777,0.0,-0.02157598983589537,3572.522258565888,-4379.285526789425,-566.6552708147652,994.5,427.844729185235,0.0,-378.9185390383052
combined,hot_sun_wind_20,4685.0,78.083333,287.9708366442975,270.0,hot,340.0,sun,1.0,20.0,780.4373995420519,-879.9934268661084,-112.96530593977951,212.5,99.53469406022049,0.0,-0.02133326383597023,3576.424445563598,-4383.6854939237555,-567.2200973444642,995.5625,428.3424026555361,0.0,-378.91864570462434
combined,hot_sun_wind_20,4690.0,78.166667,287.97083329615964,270.0,hot,340.0,sun,1.0,20.0,780.4374503355376,-879.993261049584,-112.96528255441174,212.5,99.53471744558826,0.0,-0.021093268458145076,3580.326632815276,-4388.085460229003,-567.7849237572362,996.625,428.84007624276404,0.0,-378.91875117096663
combined,hot_sun_wind_20,4695.0,78.25,287.9708299856877,270.0,hot,340.0,sun,1.0,20.0,780.4375005576054,-879.9930970984667,-112.96525943212625,212.5,99.53474056787375,0.0,-0.02085597298754749,3584.2288203180638,-4392.485425714495,-568.3497500543968,997.6875,429.3377499456034,0.0,-378.9188554508316
combined,hot_sun_wind_20,4700.0,78.333333,287.970826712458,270.0,hot,340.0,sun,1.0,20.0,780.4375502146843,-879.9929349917688,-112.96523656996285,212.5,99.53476343003715,0.0,-0.0206213470474097,3588.131008069137,-4396.885390389454,-568.9145762372466,998.75,429.8354237627535,0.0,-378.9189585575668
combined,hot_sun_wind_20,4705.0,78.416667,287.9708234760516,270.0,hot,340.0,sun,1.0,20.0,780.4375993131299,-879.9927747087424,-112.9652139649955,212.5,99.5347860350045,0.0,-0.020389360608035645,3592.033196065703,-4401.285354262998,-569.4794023070716,999.8125,430.33309769292856,0.0,-378.91906050436984
combined,hot_sun_wind_20,4710.0,78.5,287.9708202760541,270.0,hot,340.0,sun,1.0,20.0,780.4376478592263,-879.9926162288729,-112.96519161433096,212.5,99.53480838566904,0.0,-0.020159983977492857,3595.935384304999,-4405.685317344143,-570.0442282651433,1000.875,430.83077173485697,0.0,-378.91916130428973
combined,hot_sun_wind_20,4715.0,78.583333,287.970817112056,270.0,hot,340.0,sun,1.0,20.0,780.4376958591886,-879.9924595318713,-112.9651695151079,212.5,99.5348304848921,0.0,-0.01993318779062747,3599.837572784295,-4410.085279641802,-570.6090541127188,1001.9375,431.32844588728136,0.0,-378.91926097022866
combined,hot_sun_wind_20,4720.0,78.666667,287.97081398365236,270.0,hot,340.0,sun,1.0,20.0,780.4377433191598,-879.9923045976826,-112.96514766449775,212.5,99.53485233550225,0.0,-0.019708943020532388,3603.739761500891,-4414.485241164791,-571.1738798510412,1003.0,431.82612014895886,0.0,-378.9193595149437
combined,hot_sun_wind_20,4725.0,78.75,287.9708108904427,270.0,hot,340.0,sun,1.0,20.0,780.4377902452145,-879.9921514064772,-112.96512605970395,212.5,99.53487394029605,0.0,-0.019487220966652785,3607.641950452117,-4418.885201921823,-571.7387054813397,1004.0625,432.32379451866035,0.0,-378.9194569510486
combined,hot_sun_wind_20,4730.0,78.833333,287.9708078320311,270.0,hot,340.0,sun,1.0,20.0,780.4378366433596,-879.9919999386452,-112.96510469796092,212.5,99.53489530203908,0.0,-0.019267993246586457,3611.544139635334,-4423.285161921516,-572.3035310048296,1005.125,432.82146899517056,0.0,-378.9195532910148
combined,hot_sun_wind_20,4735.0,78.916667,287.97080480802606,270.0,hot,340.0,sun,1.0,20.0,780.4378825195338,-879.9918501747997,-112.96508357653434,212.5,99.53491642346566,0.0,-0.01905123180020496,3615.446329047931,-4427.68512117239,-572.8683564227122,1006.1875,433.3191435772879,0.0,-378.91964854717384
combined,hot_sun_wind_20,4740.0,79.0,287.9708018180405,270.0,hot,340.0,sun,1.0,20.0,780.4379278796091,-879.9917020957705,-112.96506269272075,212.5,99.53493730727925,0.0,-0.018836908882150283,3619.348518687329,-4432.085079682869,-573.4331817361758,1007.25,433.81681826382425,0.0,-378.9197427317182
combined,hot_sun_wind_20,4745.0,79.083333,287.9707988616918,270.0,hot,340.0,sun,1.0,20.0,780.4379727293923,-879.9915556826022,-112.96504204384668,212.5,99.53495795615332,0.0,-0.01862499705659104,3623.250708550976,-4436.4850374612815,-573.998006946395,1008.3125,434.314493053605,0.0,-378.9198358567035
combined,hot_sun_wind_20,4750.0,79.166667,287.97079593860144,270.0,hot,340.0,sun,1.0,20.0,780.4380170746233,-879.9914109165561,-112.96502162726942,212.5,99.53497837273058,0.0,-0.0184154692022247,3627.152898636349,-4440.8849945158645,-574.5628320545314,1009.375,434.8121679454687,0.0,-378.9199279340495
combined,hot_sun_wind_20,4755.0,79.25,287.9707930483953,270.0,hot,340.0,sun,1.0,20.0,780.4380609209784,-879.9912677791025,-112.96500144037572,212.5,99.53499855962428,0.0,-0.018208298499814646,3631.0550889409537,-4445.28495085476,-575.1276570617333,1010.4375,435.3098429382668,0.0,-378.920018975542
combined,hot_sun_wind_20,4760.0,79.333333,287.9707901907035,270.0,hot,340.0,sun,1.0,20.0,780.4381042740704,-879.9911262519175,-112.96498148058124,212.5,99.53501851941876,0.0,-0.018003458428395902,3634.957279462324,-4449.68490648602,-575.6924819691361,1011.5,435.8075180308639,0.0,-378.9201089928341
combined,hot_sun_wind_20,4765.0,79.416667,287.9707873651602,270.0,hot,340.0,sun,1.0,20.0,780.4381471394476,-879.9909863168892,-112.96496174533162,212.5,99.53503825466838,0.0,-0.01780092277330425,3638.8594701980214,-4454.084861417604,-576.2573067778628,1012.5625,436.30519322213723,0.0,-378.920197997448
combined,hot_sun_wind_20,4770.0,79.5,287.9707845714038,270.0,hot,340.0,sun,1.0,20.0,780.4381895225968,-879.9908479561054,-112.96494223210074,212.5,99.53505776789926,0.0,-0.01760066560940743,3642.7616611456347,-4458.4848156573835,-576.8221314890234,1013.625,436.80286851097674,0.0,-378.92028600077606
combined,hot_sun_wind_20,4775.0,79.583333,287.9707818090766,270.0,hot,340.0,sun,1.0,20.0,780.4382314289433,-879.990711151855,-112.96492293839059,212.5,99.53507706160941,0.0,-0.017402661302284628,3646.663852302779,-4462.884769213143,-577.3869561037152,1014.6875,437.30054389628475,0.0,-378.92037301408254
combined,hot_sun_wind_20,4780.0,79.666667,287.97077907782506,270.0,hot,340.0,sun,1.0,20.0,780.4382728638512,-879.9905758866267,-112.96490386173167,212.5,99.53509613826833,0.0,-0.01720688450717489,3650.5660436670983,-4467.284722092576,-577.9517806230239,1015.75,437.79821937697614,0.0,-378.92045904850505
combined,hot_sun_wind_20,4785.0,79.75,287.9707763772996,270.0,hot,340.0,sun,1.0,20.0,780.4383138326241,-879.9904421431074,-112.96488499968218,212.5,99.53511500031782,0.0,-0.017013310165523876,3654.468235236261,-4471.684674303292,-578.5166050480223,1016.8125,438.2958949519777,0.0,-378.92054411505586
combined,hot_sun_wind_20,4790.0,79.833333,287.9707737071546,270.0,hot,340.0,sun,1.0,20.0,780.4383543405058,-879.9903099041785,-112.96486634982784,212.5,99.53513365017216,0.0,-0.016821913500507435,3658.3704270079634,-4476.084625852813,-579.0814293797713,1017.875,438.7935706202286,0.0,-378.9206282246234
combined,hot_sun_wind_20,4795.0,79.916667,287.97077106704825,270.0,hot,340.0,sun,1.0,20.0,780.4383943926812,-879.9901791529134,-112.96484790978154,212.5,99.53515209021846,0.0,-0.016632670013720485,3662.272618979927,-4480.484576748578,-579.6462536193202,1018.9375,439.29124638067964,0.0,-378.9207113879734
combined,hot_sun_wind_20,4800.0,80.0,287.9707684566426,270.0,hot,340.0,sun,1.0,20.0,780.4384339942762,-879.9900498725779,-112.9648296771831,212.5,99.5351703228169,0.0,-0.016445555484722263,3666.174811149898,-4484.884526997941,-580.2110777677061,1020.0,439.78892223229377,0.0,-378.9207936157508
combined,hot_sun_wind_20,4805.0,80.083333,287.97076587560355,270.0,hot,340.0,sun,1.0,20.0,780.4384731503612,-879.989922046621,-112.96481164969836,212.5,99.53518835030164,0.0,-0.016260545958147077,3670.0770035156497,-4489.284476608174,-580.7759018259546,1021.0625,440.28659817404525,0.0,-378.92087491848065
combined,hot_sun_wind_20,4810.0,80.166667,287.97076332360075,270.0,hot,340.0,sun,1.0,20.0,780.4385118659468,-879.9897956586844,-112.96479382502018,212.5,99.53520617497982,0.0,-0.0160776177578299,3673.9791960749794,-4493.684425586468,-581.3407257950797,1022.125,440.78427420492017,0.0,-378.9209553065694
combined,hot_sun_wind_20,4815.0,80.25,287.9707608003075,270.0,hot,340.0,sun,1.0,20.0,780.4385501459888,-879.9896706925903,-112.96477620086708,212.5,99.53522379913292,0.0,-0.015896747468588046,3677.8813888257096,-4498.084373939931,-581.9055496760841,1023.1875,441.2819503239158,0.0,-378.92103479030675
combined,hot_sun_wind_20,4820.0,80.333333,287.97075830540086,270.0,hot,340.0,sun,1.0,20.0,780.4385879953873,-879.9895471323418,-112.96475877498293,212.5,99.53524122501707,0.0,-0.015717911937514373,3681.7835817656864,-4502.484321675592,-582.470373469959,1024.25,441.77962653004084,0.0,-378.9211133798665
combined,hot_sun_wind_20,4825.0,80.416667,287.97075583856144,270.0,hot,340.0,sun,1.0,20.0,780.438625418987,-879.9894249621232,-112.96474154513712,212.5,99.53525845486288,0.0,-0.015541088273238302,3685.6857748927814,-4506.884268800403,-583.0351971776847,1025.3125,442.27730282231516,0.0,-378.92119108530784
combined,hot_sun_wind_20,4830.0,80.5,287.97075339947355,270.0,hot,340.0,sun,1.0,20.0,780.4386624215783,-879.9893041662967,-112.96472450912435,212.5,99.53527549087565,0.0,-0.015366253842756805,3689.5879682048894,-4511.284215321234,-583.6000208002304,1026.375,442.7749791997696,0.0,-378.92126791657705
combined,hot_sun_wind_20,4835.0,80.583333,287.97075098782494,270.0,hot,340.0,sun,1.0,20.0,780.4386990078967,-879.9891847294028,-112.96470766476429,212.5,99.53529233523571,0.0,-0.015193386270397014,3693.4901616999286,-4515.684161244882,-584.1648443385542,1027.4375,443.27265566144575,0.0,-378.9213438835084
combined,hot_sun_wind_20,4840.0,80.666667,287.97074860330696,270.0,hot,340.0,sun,1.0,20.0,780.4387351826258,-879.9890666361517,-112.96469100990056,212.5,99.53530899009944,0.0,-0.015022463426490162,3697.392355375842,-4520.084106578062,-584.7296677936038,1028.5,443.7703322063963,0.0,-378.9214189958255
combined,hot_sun_wind_20,4845.0,80.75,287.97074624561435,270.0,hot,340.0,sun,1.0,20.0,780.4387709503956,-879.9889498714291,-112.96467454240153,212.5,99.53532545759847,0.0,-0.014853463435059666,3701.294549230594,-4524.484051327419,-585.2944911663158,1029.5625,444.26800883368423,0.0,-378.9214932631427
combined,hot_sun_wind_20,4850.0,80.833333,287.97074391444534,270.0,hot,340.0,sun,1.0,20.0,780.4388063157847,-879.9888344202875,-112.96465826015914,212.5,99.53534173984086,0.0,-0.01468636466189821,3705.1967432621727,-4528.883995499521,-585.8593144576165,1030.625,444.76568554238344,0.0,-378.921566694966
combined,hot_sun_wind_20,4855.0,80.916667,287.97074160950154,270.0,hot,340.0,sun,1.0,20.0,780.43884128332,-879.9887202679492,-112.96464216108933,212.5,99.53535783891067,0.0,-0.014521145718561002,3709.098937468589,-4533.283939100861,-586.424137668422,1031.6875,445.26336233157804,0.0,-378.92163930069455
combined,hot_sun_wind_20,4860.0,81.0,287.97073933048796,270.0,hot,340.0,sun,1.0,20.0,780.4388758574769,-879.9886073998039,-112.96462624313143,212.5,99.53537375686857,0.0,-0.014357785458415151,3713.0011318478764,-4537.68388213786,-586.9889607996377,1032.75,445.7610392003624,0.0,-378.9217110896219
combined,hot_sun_wind_20,4865.0,81.083333,287.97073707711286,270.0,hot,340.0,sun,1.0,20.0,780.4389100426806,-879.9884958014048,-112.96461050424806,212.5,99.53538949575194,0.0,-0.01419626297227694,3716.90332639809,-4542.083824616866,-587.5537838521589,1033.8125,446.2587161478412,0.0,-378.92178207093673
combined,hot_sun_wind_20,4870.0,81.166667,287.9707348490878,270.0,hot,340.0,sun,1.0,20.0,780.4389438433071,-879.9883854584674,-112.96459494242464,212.5,99.53540505757536,0.0,-0.014036557584915954,3720.8055211173064,-4546.483766544158,-588.118606826871,1034.875,446.7563931731291,0.0,-378.9218522537247
combined,hot_sun_wind_20,4875.0,81.25,287.97073264612766,270.0,hot,340.0,sun,1.0,20.0,780.4389772636828,-879.988276356868,-112.9645795556693,212.5,99.5354204443307,0.0,-0.013878648854557696,3724.7077160036247,-4550.883707925943,-588.6834297246493,1035.9375,447.2540702753507,0.0,-378.921921646969
combined,hot_sun_wind_20,4880.0,81.333333,287.97073046795043,270.0,hot,340.0,sun,1.0,20.0,780.4390103080851,-879.988168482642,-112.96456434201247,212.5,99.53543565798753,0.0,-0.013722516569316667,3728.6099110551654,-4555.283648768356,-589.2482525463594,1037.0,447.75174745364063,0.0,-378.9219902595519
combined,hot_sun_wind_20,4885.0,81.416667,287.9707283142773,270.0,hot,340.0,sun,1.0,20.0,780.4390429807436,-879.9880618219829,-112.96454929950717,212.5,99.53545070049283,0.0,-0.013568140746500035,3732.512106270069,-4559.683589077466,-589.8130752928569,1038.0625,448.2494247071431,0.0,-378.9220581002556
combined,hot_sun_wind_20,4890.0,81.5,287.97072618483264,270.0,hot,340.0,sun,1.0,20.0,780.4390752858401,-879.9879563612378,-112.9645344262277,212.5,99.5354655737723,0.0,-0.013415501625431148,3736.4143016464986,-4564.0835288592725,-590.377897964988,1039.125,448.747102035012,0.0,-378.9221251777637
combined,hot_sun_wind_20,4895.0,81.583333,287.9707240793438,270.0,hot,340.0,sun,1.0,20.0,780.4391072275104,-879.9878520869067,-112.96451972027027,212.5,99.53548027972973,0.0,-0.01326457966665373,3740.316497182636,-4568.483468119707,-590.9427205635893,1040.1875,449.2447794364106,0.0,-378.922191500662
combined,hot_sun_wind_20,4900.0,81.666667,287.9707219975414,270.0,hot,340.0,sun,1.0,20.0,780.4391388098427,-879.987748985643,-112.96450517975252,212.5,99.53549482024748,0.0,-0.013115355552784536,3744.2186928766855,-4572.883406864635,-591.5075430894882,1041.25,449.74245691051186,0.0,-378.9222570774397
combined,hot_sun_wind_20,4905.0,81.75,287.9707199391588,270.0,hot,340.0,sun,1.0,20.0,780.4391700368794,-879.9876470442496,-112.96449080281319,212.5,99.53550919718681,0.0,-0.012967810183326378,3748.1208887268695,-4577.283345099856,-592.0723655435023,1042.3125,450.2401344564978,0.0,-378.92232191649066
combined,hot_sun_wind_20,4910.0,81.833333,287.97071790393267,270.0,hot,340.0,sun,1.0,20.0,780.4392009126178,-879.9875462496778,-112.96447658761214,212.5,99.53552341238786,0.0,-0.012821924672167029,3752.0230847314324,-4581.683282831104,-592.6371879264403,1043.375,450.7378120735597,0.0,-378.92238602611405
combined,hot_sun_wind_20,4915.0,81.916667,287.9707158916024,270.0,hot,340.0,sun,1.0,20.0,780.43923144101,-879.987446589026,-112.96446253232962,212.5,99.53553746767038,0.0,-0.01267768034570338,3755.9252808886376,-4586.08322006405,-593.202010239102,1044.4375,451.23548976089813,0.0,-378.92244941451577
combined,hot_sun_wind_20,4920.0,82.0,287.9707139019106,270.0,hot,340.0,sun,1.0,20.0,780.4392616259636,-879.9873480495374,-112.9644486351667,212.5,99.5355513648333,0.0,-0.012535058740567706,3759.8274771967676,-4590.483156804297,-593.7668324822779,1045.5,451.7331675177223,0.0,-378.92251208980946
