suite,scenario,time_s,time_min,temperature_K,ambient_K,wind_m_s,q_conduction_W,q_convection_W,q_longwave_W,q_solar_W,q_radiation_W,q_internal_W,q_total_W,energy_conduction_kJ,energy_convection_kJ,energy_longwave_kJ,energy_solar_kJ,energy_radiation_kJ,energy_internal_kJ,energy_total_kJ
convection,wind_0,485.0,8.083333,297.2463470285553,270.0,0.0,0.0,-170.45877485590708,0.0,0.0,0.0,0.0,-170.45877485590708,0.0,-86.74006860050363,0.0,0.0,0.0,0.0,-86.74006860050363
convection,wind_0,490.0,8.166667,297.2193169223762,270.0,0.0,0.0,-170.28966892847066,0.0,0.0,0.0,0.0,-170.28966892847066,0.0,-87.591516945146,0.0,0.0,0.0,0.0,-87.591516945146
convection,wind_0,495.0,8.25,297.19231363177863,270.0,0.0,0.0,-170.12073076485132,0.0,0.0,0.0,0.0,-170.12073076485132,0.0,-88.44212059897026,0.0,0.0,0.0,0.0,-88.44212059897026
convection,wind_0,500.0,8.333333,297.1653371301598,270.0,0.0,0.0,-169.95196019861646,0.0,0.0,0.0,0.0,-169.95196019861646,0.0,-89.29188039996333,0.0,0.0,0.0,0.0,-89.29188039996333
convection,wind_0,505.0,8.416667,297.13838739094336,270.0,0.0,0.0,-169.78335706349873,0.0,0.0,0.0,0.0,-169.78335706349873,0.0,-90.14079718528083,0.0,0.0,0.0,0.0,-90.14079718528083
convection,wind_0,510.0,8.5,297.11146438757936,270.0,0.0,0.0,-169.61492119339601,0.0,0.0,0.0,0.0,-169.61492119339601,0.0,-90.9888717912478,0.0,0.0,0.0,0.0,-90.9888717912478
convection,wind_0,515.0,8.583333,297.0845680935441,270.0,0.0,0.0,-169.44665242237102,0.0,0.0,0.0,0.0,-169.44665242237102,0.0,-91.83610505335966,0.0,0.0,0.0,0.0,-91.83610505335966
convection,wind_0,520.0,8.666667,297.0576984823402,270.0,0.0,0.0,-169.27855058465047,0.0,0.0,0.0,0.0,-169.27855058465047,0.0,-92.6824978062829,0.0,0.0,0.0,0.0,-92.6824978062829
convection,wind_0,525.0,8.75,297.0308555274966,270.0,0.0,0.0,-169.11061551462615,0.0,0.0,0.0,0.0,-169.11061551462615,0.0,-93.52805088385604,0.0,0.0,0.0,0.0,-93.52805088385604
convection,wind_0,530.0,8.833333,297.00403920256855,270.0,0.0,0.0,-168.94284704685384,0.0,0.0,0.0,0.0,-168.94284704685384,0.0,-94.3727651190903,0.0,0.0,0.0,0.0,-94.3727651190903
convection,wind_0,535.0,8.916667,296.97724948113745,270.0,0.0,0.0,-168.77524501605342,0.0,0.0,0.0,0.0,-168.77524501605342,0.0,-95.21664134417057,0.0,0.0,0.0,0.0,-95.21664134417057
convection,wind_0,540.0,9.0,296.9504863368109,270.0,0.0,0.0,-168.60780925710907,0.0,0.0,0.0,0.0,-168.60780925710907,0.0,-96.05968039045611,0.0,0.0,0.0,0.0,-96.05968039045611
convection,wind_0,545.0,9.083333,296.9237497432228,270.0,0.0,0.0,-168.44053960506818,0.0,0.0,0.0,0.0,-168.44053960506818,0.0,-96.90188308848145,0.0,0.0,0.0,0.0,-96.90188308848145
convection,wind_0,550.0,9.166667,296.89703967403307,270.0,0.0,0.0,-168.27343589514248,0.0,0.0,0.0,0.0,-168.27343589514248,0.0,-97.74325026795717,0.0,0.0,0.0,0.0,-97.74325026795717
convection,wind_0,555.0,9.25,296.8703561029279,270.0,0.0,0.0,-168.10649796270667,0.0,0.0,0.0,0.0,-168.10649796270667,0.0,-98.58378275777069,0.0,0.0,0.0,0.0,-98.58378275777069
convection,wind_0,560.0,9.333333,296.8436990036194,270.0,0.0,0.0,-167.9397256432992,0.0,0.0,0.0,0.0,-167.9397256432992,0.0,-99.42348138598719,0.0,0.0,0.0,0.0,-99.42348138598719
convection,wind_0,565.0,9.416667,296.81706834984595,270.0,0.0,0.0,-167.77311877262127,0.0,0.0,0.0,0.0,-167.77311877262127,0.0,-100.2623469798503,0.0,0.0,0.0,0.0,-100.2623469798503
convection,wind_0,570.0,9.5,296.7904641153719,270.0,0.0,0.0,-167.6066771865372,0.0,0.0,0.0,0.0,-167.6066771865372,0.0,-101.100380365783,0.0,0.0,0.0,0.0,-101.100380365783
